title,source,category,sentiment_score,date
Ác mộng săn vé World Cup,VnExpress,News,0.0,
Đức 'thất bại cay đắng' khi tranh cử ghế Hội đồng Bảo an LHQ,VnExpress,News,0.0,
"FBI bắn hạ kẻ bắt cóc, giải cứu 10 con tin ở California",VnExpress,News,0.0,
Tuổi già chật vật ở quận Cam,VnExpress,News,0.0,
Tổng thống Trump: Chủ tịch Tập ngưỡng mộ Mỹ,VnExpress,News,0.0,
Khoảnh khắc UAV nghi của Iran lao xuống sân bay Kuwait,VnExpress,News,0.0,
Hạ viện Mỹ kêu gọi chấm dứt xung đột với Iran,VnExpress,News,0.0,
Israel - Lebanon nhất trí thực hiện lệnh ngừng bắn,VnExpress,News,0.0,
Mỹ - Iran phát thông điệp mâu thuẫn về đàm phán,VnExpress,News,0.0,
Thế lưỡng nan với Oman trước sức ép chọn phe từ Mỹ,VnExpress,News,0.0,
Vụ đột nhập châm ngòi tranh luận về quyền nổ súng của chủ nhà,VnExpress,News,0.0,
Thiếu niên Mỹ ngày càng khó tìm việc làm hè,VnExpress,News,0.0,
Vụ bắn hạ UAV có thể hé lộ tổn thất với phi đội Reaper của Mỹ,VnExpress,News,0.0,
'Bố già' crypto sa lưới vì bắt cóc cha mẹ của kẻ trộm Bitcoin,VnExpress,News,0.0,
Ông Trump thừa nhận đã nổi cáu với Thủ tướng Israel,VnExpress,News,0.0,
"Kuwait trục xuất nhà ngoại giao Iran sau vụ tập kích tên lửa, UAV",VnExpress,News,0.0,
Ông Trump muốn gặp Lãnh tụ Tối cao Iran,VnExpress,News,0.0,
"Truyền thông Iran đăng video 'tên lửa Patriot phóng xịt, lao xuống đất' ở Kuwait",VnExpress,News,0.0,
Nữ giáo dân đầu tiên được Vatican bổ nhiệm làm Bộ trưởng,VnExpress,News,0.0,
Lý do Nga tăng cường tập kích quy mô lớn vào Kiev,VnExpress,News,0.0,
"Cháy khách sạn bình dân ở New Delhi, 21 người chết",VnExpress,News,0.13636363636363635,
Hành khách đòi nhảy khỏi máy bay giữa không trung,VnExpress,News,0.0,
Sân bay quốc tế Kuwait hư hại nặng khi Iran tập kích,VnExpress,News,0.0,
Sân bay Trung Quốc cảnh báo khách về 'kiếm Việt Vương Câu Tiễn',VnExpress,News,0.0,
"Ông Thaksin được ân xá, tháo vòng giám sát sớm ba tháng",VnExpress,News,0.0,
Drone Hezbollah tập kích xe tăng tối tân Israel gần pháo đài chiến lược,VnExpress,News,0.0,
Mỹ - Israel lục đục về lối thoát cho chiến sự Iran,VnExpress,News,0.0,
Kiev chìm trong khói lửa sau cuộc tập kích dữ dội của Nga,VnExpress,News,0.0,
Cắn trả chó nghiệp vụ khi bị cảnh sát khống chế,VnExpress,News,0.0,
Thủ tướng Anh giận dữ về vụ cảnh sát còng tay người bị đâm dao,VnExpress,News,0.0,
Mỹ tuyển người từng tham gia bạo loạn Đồi Capitol vào cơ quan chống khủng bố,VnExpress,News,0.0,
Bộ trưởng Hegseth có thể đã chặn phong tướng cho loạt sĩ quan Mỹ,VnExpress,News,0.0,
Quan chức Iran lo ngại nội bộ chia rẽ giữa đối đầu với Mỹ,VnExpress,News,0.0,
Phi công F-15E Mỹ 'bị bắn rơi hai lần trong hơn một tháng',VnExpress,News,0.0,
Iran tập kích hai căn cứ lớn của Mỹ ở Kuwait,VnExpress,News,0.0,
Hezbollah đang thảo luận về đề xuất ngừng bắn của ông Trump,VnExpress,News,0.0,
"Mỹ phóng tên lửa, vô hiệu hóa tàu dầu hướng tới Iran",VnExpress,News,0.0,
Niềm vui bóng đá hóa thành tranh cãi chính trị ở Pháp,VnExpress,News,0.0,
New York cảnh báo về thử thách trèo nóc tàu điện,VnExpress,News,0.13636363636363635,
Ngoại trưởng Mỹ nêu cách Lãnh tụ Tối cao Iran chỉ đạo 'từ bóng tối',VnExpress,News,0.0,
Ảnh vệ tinh hé lộ hạn chế của Mỹ trong chiến dịch tập kích Iran,VnExpress,News,0.0,
Ông Trump bổ nhiệm đồng minh ít kinh nghiệm làm trùm tình báo,VnExpress,News,0.0,
Trung Quốc dừng dự án cao tốc 710 triệu USD vì loài chim quý hiếm,VnExpress,News,0.0,
Những 'người chuột tìm kho báu' dưới ống cống New York,VnExpress,News,0.13636363636363635,
"Máy bay tiếp dầu Mỹ va chạm nhau, rách cánh đuôi",VnExpress,News,0.0,
UAV Ukraine lần đầu tập kích Hạm đội Baltic của Nga,VnExpress,News,0.0,
Ảnh vệ tinh căn cứ Mỹ nghi trúng đòn tập kích của Iran,VnExpress,News,0.0,
"Gấu rượt đuổi, tấn công người tại nhà máy Fukushima",VnExpress,News,0.0,
Kênh đào 10 tỷ USD của Trung Quốc đi vào thử nghiệm,VnExpress,News,0.0,
Iran đăng video phóng tên lửa về phía 'tàu khu trục Mỹ',VnExpress,News,0.0,
Ông Trump 'không dự lễ khai mạc World Cup 2026',VnExpress,News,0.0,
"UAV Iran 'đâm trúng buồng lái Apache, kẹt giữa hai phi công'",VnExpress,News,0.0,
"Nổ lớn trong khu dân cư Trung Quốc, 7 người chết",VnExpress,News,0.0,
Ông Trump tuyên bố không lo ngại về lạm phát ở Mỹ,VnExpress,News,0.0,
"Iran tấn công loạt mục tiêu, dọa biến khu vực thành 'địa ngục'",VnExpress,News,0.0,
Bill Gates nói từng bị Epstein gây sức ép về chuyện ngoại tình,VnExpress,News,0.0,
"Mỹ tấn công tàu dầu gần eo Hormuz, ba thủy thủ mất tích",VnExpress,News,0.0,
Iran đóng eo biển Hormuz,VnExpress,News,0.0,
Bang Texas điều tra FIFA về cách bán vé World Cup,VnExpress,News,0.0,
Mỹ tập kích loạt mục tiêu ở Iran,VnExpress,News,0.0,
Hành trình thị trưởng Mỹ trở thành đặc vụ cho Trung Quốc,VnExpress,News,0.0,
Tuyên bố 'UAV Iran bắn rơi trực thăng Apache Mỹ' gây hoài nghi,VnExpress,News,0.0,
Cuộc chạy đua đưa World Cup 2026 đến Bắc Mỹ,VnExpress,News,0.0,
Ông Trump tuyên bố sắp nối lại chiến dịch không kích Iran,VnExpress,News,0.0,
Trọng tài Somalia về nước 'như người hùng' sau khi bị Mỹ cấm nhập cảnh,VnExpress,News,0.0,
Mẫu xuồng không người lái cứu mạng phi công Mỹ gần Hormuz,VnExpress,News,0.0,
Ông Trump: Iran sẽ phải trả giá vì kéo dài đàm phán,VnExpress,News,0.0,
Người phụ nữ kết nối Bill Gates với Epstein,VnExpress,News,0.0,
Việt Nam hỗ trợ Timor-Leste hội nhập hiệu quả vào ASEAN,VnExpress,News,0.0,
Gần 60 máy bay Mỹ thiệt hại trong xung đột với Iran,VnExpress,News,0.0,
Diễn đàn Tương lai ASEAN có số đại biểu tham dự kỷ lục,VnExpress,News,0.0,
Ấn Độ tuyên bố sẽ ngăn nước sông chảy sang Pakistan,VnExpress,News,0.0,
Iran công bố video phóng tên lửa về phía 'căn cứ F-35 Mỹ',VnExpress,News,0.0,
